Order_ID,Order_Type,Order_Date,Delivery_Date,Customer_ID,Customer_Country,Customer_Gender,Customer_Name,Customer_FirstName,Customer_LastName,Customer_BirthDate,Customer_Age_Group,Customer_Type,Customer_Group,Customer_Age,Product_ID,Product_Name,Product_Line,Product_Category,Product_Group,Quantity,Total_Retail_Price,CostPrice_Per_Unit,Discount,Employee_ID,Street_ID,Company,Department,Section,Job_Title,Employee_Name,Employee_Gender,Salary,Employee_Hire_Date
1243960910,1,19-Nov-07,19-Nov-07,90,US,F,Kyndal Hooks,Kyndal,Hooks,01-Aug-64,31-45 years,Orion Club Gold members high activity,Orion Club Gold members,43,2.102E+11,"Kids Sweat Round Neck,Large Logo",Children,Children Sports,"A-Team, Kids",2,$69.40,$15.50,,121028,9260111614,Orion USA,Sales,Sales,Sales Rep. I,William Smades,M,"$26,585",01-Nov-06
1234198497,1,26-Nov-04,26-Nov-04,49,US,F,Annmarie Leveille,Annmarie,Leveille,16-Jul-84,15-30 years,Orion Club Gold members high activity,Orion Club Gold members,23,2.102E+11,Sweatshirt Children's O-Neck,Children,Children Sports,"A-Team, Kids",1,$39.00,$17.35,,121035,9260104510,Orion USA,Sales,Sales,Sales Rep. II,James Blackley,M,"$26,460",01-Jan-74
1240886449,1,12-Dec-06,12-Dec-06,52,US,M,Yan Kozlowski,Yan,Kozlowski,06-Apr-69,31-45 years,Orion  Club members medium activity,Orion Club members,38,2.102E+11,Sunfit Stockton Swimming Trunks Jr.,Children,Children Sports,"Bathing Suits, Kids",1,$19.80,$8.25,,121030,9260116235,Orion USA,Sales,Sales,Sales Rep. I,Jeryl Areu,M,"$26,745",01-Feb-01
1242149082,1,03-May-07,03-May-07,90,US,F,Kyndal Hooks,Kyndal,Hooks,01-Aug-64,31-45 years,Orion Club Gold members high activity,Orion Club Gold members,43,2.102E+11,Fleece Cuff Pant Kid'S,Children,Children Sports,"Eclipse, Kid's Clothes",1,$14.30,$7.70,,121032,9260111614,Orion USA,Sales,Sales,Sales Rep. IV,Nasim Smith,M,"$31,335",01-Mar-06
1237789102,1,28-Nov-05,28-Nov-05,56,US,M,Roy Siferd,Roy,Siferd,01-Feb-34,61-75 years,Orion  Club members medium activity,Orion Club members,73,2.102E+11,Hsc Dutch Player Shirt Junior,Children,Children Sports,"Eclipse, Kid's Clothes",1,$50.40,$25.30,,121027,9260111871,Orion USA,Sales,Sales,Sales Rep. II,Allan Rudder,M,"$26,165",01-Dec-89
1236701935,1,12-Aug-05,12-Aug-05,34,US,M,Alvan Goheen,Alvan,Goheen,18-Jan-84,15-30 years,Orion Club members low activity,Orion Club members,23,2.102E+11,Tony's Cut & Sew T-Shirt,Children,Children Sports,"Eclipse, Kid's Clothes",2,$43.80,$11.05,,121027,9260111379,Orion USA,Sales,Sales,Sales Rep. II,Allan Rudder,M,"$26,165",01-Dec-89
1233920786,1,15-Oct-04,15-Oct-04,34,US,M,Alvan Goheen,Alvan,Goheen,18-Jan-84,15-30 years,Orion Club members low activity,Orion Club members,23,2.102E+11,Kids Baby Edge Max Shoes,Children,Children Sports,"Eclipse, Kid's Shoes",1,$38.00,$19.10,,121030,9260111379,Orion USA,Sales,Sales,Sales Rep. I,Jeryl Areu,M,"$26,745",01-Feb-01
1233920786,1,15-Oct-04,15-Oct-04,34,US,M,Alvan Goheen,Alvan,Goheen,18-Jan-84,15-30 years,Orion Club members low activity,Orion Club members,23,2.102E+11,Tony's Children's Deschutz (Bg) Shoes,Children,Children Sports,"Eclipse, Kid's Shoes",1,$41.60,$20.90,,121030,9260111379,Orion USA,Sales,Sales,Sales Rep. I,Jeryl Areu,M,"$26,745",01-Feb-01
1242838815,1,19-Jul-07,19-Jul-07,41,AU,M,Wendell Summersby,Wendell,Summersby,02-Dec-64,31-45 years,Orion  Club members medium activity,Orion Club members,43,2.10201E+11,Bozeman Rain & Storm Set,Children,Children Sports,"Lucky Guy, Kids",1,$39.40,$17.80,,120195,1600101527,Orion Australia,Sales,Sales,Trainee,Jina Fiocca,F,"$24,990",01-Jul-06
1240509842,1,26-Oct-06,26-Oct-06,63,US,M,James Klisurich,James,Klisurich,25-Dec-69,31-45 years,Orion Club Gold members medium activity,Orion Club Gold members,38,2.10201E+11,Bozeman Rain & Storm Set,Children,Children Sports,"Lucky Guy, Kids",1,$39.40,$17.80,,121033,9260125492,Orion USA,Sales,Sales,Sales Rep. III,Kristie Snitzer,F,"$29,775",01-Jun-04
1239057268,1,27-Apr-06,27-Apr-06,12,US,M,David Black,David,Black,12-Apr-69,31-45 years,Orion  Club members medium activity,Orion Club members,38,2.10201E+11,"Rain Suit, Plain w/backpack Jacket",Children,Children Sports,"Lucky Guy, Kids",2,$48.00,$11.95,,121030,9260103713,Orion USA,Sales,Sales,Sales Rep. I,Jeryl Areu,M,"$26,745",01-Feb-01
1243315613,1,09-Sep-07,09-Sep-07,5,US,F,Sandrina Stephano,Sandrina,Stephano,09-Jul-79,15-30 years,Orion Club Gold members medium activity,Orion Club Gold members,28,2.10201E+11,Teen Profleece w/Zipper,Children,Children Sports,"Lucky Guy, Kids",1,$52.50,$22.25,,121026,9260114570,Orion USA,Sales,Sales,Sales Rep. IV,Terrill Jaime,M,"$31,515",01-Apr-06
